"code","name_it","name_en","parent_code","level","classification_system"
"A","AGRICOLTURA, SILVICOLTURA E PESCA","AGRICULTURE, FORESTRY AND FISHING","","1","NACE"
"B","ATTIVITÀ ESTRATTIVE","MINING AND QUARRYING","","1","NACE"
"C","ATTIVITÀ MANIFATTURIERE","MANUFACTURING","","1","NACE"
"D","FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","","1","NACE"
"E","FORNITURA DI ACQUA; GESTIONE DI RETI FOGNARIE, ATTIVITÀ DI TRATTAMENTO DEI RIFIUTI E RISANAMENTO","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","","1","NACE"
"F","COSTRUZIONI","CONSTRUCTION","","1","NACE"
"G","COMMERCIO ALL'INGROSSO E AL DETTAGLIO","WHOLESALE AND RETAIL TRADE","","1","NACE"
"H","TRASPORTO E MAGAZZINAGGIO","TRANSPORTATION AND STORAGE","","1","NACE"
"I","ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE","ACCOMMODATION AND FOOD SERVICE ACTIVITIES","","1","NACE"
"J","ATTIVITÀ EDITORIALI, TRASMISSIONI RADIOFONICHE E PRODUZIONE E DISTRIBUZIONE DI CONTENUTI","PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","","1","NACE"
"K","TELECOMUNICAZIONI, PROGRAMMAZIONE E CONSULENZA INFORMATICA, INFRASTRUTTURE INFORMATICHE E ALTRE ATTIVITÀ DEI SERVIZI D'INFORMAZIONE","TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","","1","NACE"
"L","ATTIVITÀ FINANZIARIE E ASSICURATIVE","FINANCIAL AND INSURANCE ACTIVITIES","","1","NACE"
"M","ATTIVITÀ IMMOBILIARI","REAL ESTATE ACTIVITIES","","1","NACE"
"N","ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","","1","NACE"
"O","ATTIVITÀ AMMINISTRATIVE E DI SERVIZI DI SUPPORTO","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","","1","NACE"
"P","AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA","PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY","","1","NACE"
"Q","ISTRUZIONE E FORMAZIONE","EDUCATION","","1","NACE"
"R","ATTIVITÀ PER LA SALUTE UMANA E DI ASSISTENZA SOCIALE","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES","","1","NACE"
"S","ATTIVITÀ ARTISTICHE, SPORTIVE E DI DIVERTIMENTO","ARTS, SPORTS AND RECREATION","","1","NACE"
"T","ALTRE ATTIVITÀ DI SERVIZI","OTHER SERVICE ACTIVITIES","","1","NACE"
