"code","name_it","name_en","parent_code","level","classification_system"
"01.11","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds","01.1","4","NACE"
"01.12","Coltivazione di riso","Growing of rice","01.1","4","NACE"
"01.13","Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers","01.1","4","NACE"
"01.14","Coltivazione di canna da zucchero","Growing of sugar cane","01.1","4","NACE"
"01.15","Coltivazione di tabacco","Growing of tobacco","01.1","4","NACE"
"01.16","Coltivazione di piante tessili","Growing of fibre crops","01.1","4","NACE"
"01.19","Coltivazione di altre colture agricole non permanenti","Growing of other non-perennial crops","01.1","4","NACE"
"01.21","Coltivazione di uva","Growing of grapes","01.2","4","NACE"
"01.22","Coltivazione di frutta di origine tropicale e subtropicale","Growing of tropical and subtropical fruits","01.2","4","NACE"
"01.23","Coltivazione di agrumi","Growing of citrus fruits","01.2","4","NACE"
"01.24","Coltivazione di pomacee e frutta a nocciolo","Growing of pome fruits and stone fruits","01.2","4","NACE"
"01.25","Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio","Growing of other tree and bush fruits and nuts","01.2","4","NACE"
"01.26","Coltivazione di frutti oleosi","Growing of oleaginous fruits","01.2","4","NACE"
"01.27","Coltivazione di piante per la produzione di bevande","Growing of beverage crops","01.2","4","NACE"
"01.28","Coltivazione di spezie, piante aromatiche e farmaceutiche","Growing of spices, aromatic, drug and pharmaceutical crops","01.2","4","NACE"
"01.29","Coltivazione di altre colture agricole permanenti","Growing of other perennial crops","01.2","4","NACE"
"01.30","Riproduzione delle piante","Plant propagation","01.3","4","NACE"
"01.41","Allevamento di bovini da latte","Raising of dairy cattle","01.4","4","NACE"
"01.42","Allevamento di altri bovini e bufalini","Raising of other cattle and buffaloes","01.4","4","NACE"
"01.43","Allevamento di cavalli e altri equini","Raising of horses and other equines","01.4","4","NACE"
"01.44","Allevamento di cammelli e camelidi","Raising of camels and camelids","01.4","4","NACE"
"01.45","Allevamento di ovini e caprini","Raising of sheep and goats","01.4","4","NACE"
"01.46","Allevamento di suini","Raising of swine and pigs","01.4","4","NACE"
"01.47","Allevamento di pollame","Raising of poultry","01.4","4","NACE"
"01.48","Allevamento di altri animali","Raising of other animals","01.4","4","NACE"
"01.50","Coltivazioni agricole associate all'allevamento di animali: attività mista","Mixed farming","01.5","4","NACE"
"01.61","Attività di supporto alla produzione vegetale","Support activities for crop production","01.6","4","NACE"
"01.62","Attività di supporto alla produzione animale","Support activities for animal production","01.6","4","NACE"
"01.63","Attività successive alla raccolta e lavorazione delle sementi per la semina","Post-harvest crop activities and seed processing for propagation","01.6","4","NACE"
"01.70","Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities","01.7","4","NACE"
"02.10","Silvicoltura e altre attività forestali","Silviculture and other forestry activities","02.1","4","NACE"
"02.20","Utilizzo di aree forestali","Logging","02.2","4","NACE"
"02.30","Raccolta di prodotti selvatici non legnosi","Gathering of wild growing non-wood products","02.3","4","NACE"
"02.40","Servizi di supporto per la silvicoltura","Support services to forestry","02.4","4","NACE"
"03.11","Pesca marina","Marine fishing","03.1","4","NACE"
"03.12","Pesca in acque dolci","Freshwater fishing","03.1","4","NACE"
"03.21","Acquacoltura marina","Marine aquaculture","03.2","4","NACE"
"03.22","Acquacoltura in acque dolci","Freshwater aquaculture","03.2","4","NACE"
"03.30","Attività di supporto alla pesca e all'acquacoltura","Support activities for fishing and aquaculture","03.3","4","NACE"
"05.10","Estrazione di antracite","Mining of hard coal","05.1","4","NACE"
"05.20","Estrazione di lignite","Mining of lignite","05.2","4","NACE"
"06.10","Estrazione di petrolio greggio","Extraction of crude petroleum","06.1","4","NACE"
"06.20","Estrazione di gas naturale","Extraction of natural gas","06.2","4","NACE"
"07.10","Estrazione di minerali metalliferi ferrosi","Mining of iron ores","07.1","4","NACE"
"07.21","Estrazione di minerali di uranio e torio","Mining of uranium and thorium ores","07.2","4","NACE"
"07.29","Estrazione di altri minerali metalliferi non ferrosi","Mining of other non-ferrous metal ores","07.2","4","NACE"
"08.11","Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre","Quarrying of ornamental stone, limestone, gypsum, slate and other stone","08.1","4","NACE"
